date,cases
22/12/2014,33
23/12/2014,32
24/12/2014,38
25/12/2014,8
26/12/2014,40
27/12/2014,20
28/12/2014,11
29/12/2014,34
30/12/2014,23
31/12/2014,25
1/1/2015,10
1/2/2015,35
1/3/2015,22
1/4/2015,11
1/5/2015,77
1/6/2015,40
1/7/2015,47
1/8/2015,41
1/9/2015,22
1/10/2015,21
1/11/2015,8
1/12/2015,63
1/13/2015,38
1/14/2015,38
1/15/2015,37
1/16/2015,28
1/17/2015,18
1/18/2015,11
1/19/2015,45
1/20/2015,35
1/21/2015,40
1/22/2015,38
1/23/2015,50
1/24/2015,24
1/25/2015,20
1/26/2015,65
1/27/2015,34
1/28/2015,48
1/29/2015,43
1/30/2015,22
1/31/2015,25
2/1/2015,14
2/2/2015,45
2/3/2015,46
2/4/2015,34
2/5/2015,22
2/6/2015,32
2/7/2015,20
2/8/2015,12
2/9/2015,46
2/10/2015,26
2/11/2015,31
2/12/2015,22
2/13/2015,21
2/14/2015,13
2/15/2015,5
2/16/2015,29
2/17/2015,27
2/18/2015,12
2/19/2015,5
2/20/2015,11
2/21/2015,11
2/22/2015,10
2/23/2015,34
2/24/2015,27
2/25/2015,24
2/26/2015,37
2/27/2015,25
2/28/2015,15
3/1/2015,11
3/2/2015,40
3/3/2015,41
3/4/2015,38
3/5/2015,26
3/6/2015,24
3/7/2015,11
3/8/2015,9
3/9/2015,30
3/10/2015,22
3/11/2015,13
3/12/2015,16
3/13/2015,12
3/14/2015,9
3/15/2015,6
3/16/2015,9
3/17/2015,18
3/18/2015,21
3/19/2015,13
3/20/2015,17
3/21/2015,8
3/22/2015,10
3/23/2015,23
3/24/2015,24
3/25/2015,19
3/26/2015,20
3/27/2015,24
3/28/2015,11
3/29/2015,5
3/30/2015,23
3/31/2015,11
4/1/2015,15
4/2/2015,21
4/3/2015,4
4/4/2015,12
4/5/2015,10
4/6/2015,23
4/7/2015,11
4/8/2015,17
4/9/2015,16
4/10/2015,16
4/11/2015,15
4/12/2015,6
4/13/2015,23
4/14/2015,32
4/15/2015,24
4/16/2015,27
4/17/2015,23
4/18/2015,6
4/19/2015,5
4/20/2015,30
4/21/2015,17
4/22/2015,14
4/23/2015,18
4/24/2015,22
4/25/2015,8
4/26/2015,6
4/27/2015,37
4/28/2015,18
4/29/2015,20
4/30/2015,15
5/1/2015,7
5/2/2015,17
5/3/2015,7
5/4/2015,36
5/5/2015,27
5/6/2015,18
5/7/2015,17
5/8/2015,20
5/9/2015,14
5/10/2015,12
5/11/2015,35
5/12/2015,22
5/13/2015,36
5/14/2015,24
5/15/2015,20
5/16/2015,9
5/17/2015,10
5/18/2015,17
5/19/2015,16
5/20/2015,16
5/21/2015,19
5/22/2015,21
5/23/2015,10
5/24/2015,14
5/25/2015,39
5/26/2015,31
5/27/2015,18
5/28/2015,40
5/29/2015,21
5/30/2015,17
5/31/2015,9
6/1/2015,22
6/2/2015,31
6/3/2015,15
6/4/2015,35
6/5/2015,29
6/6/2015,11
6/7/2015,8
6/8/2015,32
6/9/2015,42
6/10/2015,34
6/11/2015,28
6/12/2015,34
6/13/2015,16
6/14/2015,17
6/15/2015,38
6/16/2015,29
6/17/2015,36
6/18/2015,25
6/19/2015,36
6/20/2015,28
6/21/2015,14
6/22/2015,46
6/23/2015,44
6/24/2015,41
6/25/2015,39
6/26/2015,40
6/27/2015,18
6/28/2015,9
6/29/2015,37
6/30/2015,40
7/1/2015,48
7/2/2015,35
7/3/2015,47
7/4/2015,26
7/5/2015,19
7/6/2015,45
7/7/2015,49
7/8/2015,45
7/9/2015,33
7/10/2015,41
7/11/2015,40
7/12/2015,25
7/13/2015,52
7/14/2015,41
7/15/2015,40
7/16/2015,52
7/17/2015,24
7/18/2015,29
7/19/2015,18
7/20/2015,63
7/21/2015,55
7/22/2015,49
7/23/2015,34
7/24/2015,44
7/25/2015,31
7/26/2015,22
7/27/2015,57
7/28/2015,51
7/29/2015,38
7/30/2015,41
7/31/2015,22
8/1/2015,20
8/2/2015,17
8/3/2015,58
8/4/2015,38
8/5/2015,35
8/6/2015,47
8/7/2015,11
8/8/2015,20
8/9/2015,30
8/10/2015,19
8/11/2015,52
8/12/2015,34
8/13/2015,30
8/14/2015,35
8/15/2015,21
8/16/2015,17
8/17/2015,50
8/18/2015,39
8/19/2015,46
8/20/2015,45
